Ano;Federal;Estadual
1990;65526;708393
1991;71608;754011
1992;80259;802241
1993;89587;880857
1994;95034;958704
1995;89538;989004
1996;95088;1032440
1997;101755;1074809
1998;110793;1113676
1999;125682;1161490
2000;145416;1245845
2001;156993;1247039
2002;163528;1276616
2003;173059;1295542
2004;180328;1316772
2005;187618;1340311
2006;193046;1376899
2007;199618;1398627
2008;198414;1408479
2009;208118;1407369
2010;209771;1404032
2011;216362;1382606
2012;217815;1352582
2013;215866;1361084
2014;210567;1351752
2015;196455;1330148
2016;189192;1318937
2017;183058;1306131
2018;179898;1284487
2019;175116;1255689
